row_number,company_name,normalized_company_name,domain,source_industry,country,employee_count_source,contact_name,contact_title,email,source,last_seen
1,BASALT CONSTRUCTION INTERNATIONAL CO,basalt construction international,basaltconstruction.com,Insurance,DE,30,,,,,
2,"IRONWOOD,AGRITECH HOLDINGS INC.",ironwood agritech,ironwoodagritechho.com,Energy,Australia,1200,,,info@ironwood.com,,
3,"northwind,logistics global inc",northwind logistics global,northwindlogistics.com,Gaming,India,110,,,,,
4,Nimbus Cloud Global Co,nimbus cloud global,nimbuscloudglobal.com,,U.S.A.,30,,,,,
5,"NIMBUS,CLOUD PARTNERS INCORPORATED",nimbus cloud partners incorporated,nimbuscloudpartner.com,Media,Canada,5,,,info@nimbus.com,,
6,Foxglove Energy Group Co,foxglove energy,foxgloveenergygrou.com,Logistics,DE,545,,,,,
7,Brightpath Analytics Corp,brightpath analytics,brightpathanalytic.com,Education,United Kingdom,130,,,info@brightpath.com,,
8,Thicket Gaming Holdings,thicket gaming,,Gaming,United States,1000,,,info@thicket.com,,
9,orbit manufacturing international,orbit manufacturing international,orbitmanufacturing.com,Education,India,1000,,,info@orbit.com,,
10,ZEPHYR DRONES INTERNATIONAL,zephyr drones international,zephyrdronesintern.com,Retail,Canada,350,,,info@zephyr.com,,
11,Granite Insurance Partners Corp,granite insurance partners,graniteinsurancepa.com,Pharmaceuticals,Australia,130,,,info@granite.com,,
12,Willow Childcare International LLC,willow childcare international,willowchildcareint.com,Media,DE,245,,,info@willow.com,,
13,"Thicket,Gaming International Corp",thicket gaming international,thicketgaminginter.com,Telecom,,,,,info@thicket.com,,
14,Xenon Labs Co,xenon labs,xenonlabs.com,Healthcare,United States,,,,,,
15,"COBALT,TELECOM GROUP INC",cobalt telecom,cobalttelecomgroup.com,,,18,,,info@cobalt.com,,
16,Northwind Logistics Partners Inc.,northwind logistics partners,northwindlogistics.com,,Australia,42,,,info@northwind.com,,
17,Larkspur Toys Group LLC,larkspur toys,larkspurtoysgroup.com,Software,DE,260,,,info@larkspur.com,,
18,acorn education partners corp,acorn education partners,acorneducationpart.com,Education,India,,,,info@acorn.com,,
19,FOXGLOVE ENERGY INCORPORATED,foxglove energy incorporated,,Software,United Kingdom,18,,,info@foxglove.com,,
20,Foxglove Energy International,foxglove energy international,foxgloveenergyinte.com,Healthcare,DE,,,,info@foxglove.com,,
21,Northwind Logistics Partners Inc,northwind logistics partners,northwindlogistics.com,,U.S.A.,30,,,info@northwind.com,,
22,Sterling Robotics Group Incorporated,sterling robotics incorporated,sterlingroboticsgr.com,Finance,U.S.A.,42,,,info@sterling.com,,
23,"Kestrel,Security",kestrel security,kestrelsecurity.com,Hospitality,United States,125,,,info@kestrel.com,,
24,cedar systems group ltd,cedar systems,cedarsystemsgroup.com,Healthcare,,42,,,info@cedar.com,,
25,Onyx Mining Ltd.,onyx mining,onyxmining.com,Insurance,Australia,5,,,info@onyx.com,,
26,Granite Insurance Global Inc.,granite insurance global,graniteinsurancegl.com,,United Kingdom,5,,,,,
27,Verdant Landscaping LLC,verdant landscaping,verdantlandscaping.com,Software,CA,450,,,info@verdant.com,,
28,saffron spices co,saffron spices,saffronspices.com,Gaming,United States,42,,,info@saffron.com,,
29,Nimbus Cloud Holdings Incorporated,nimbus cloud incorporated,nimbuscloudholding.com,Media,Australia,125,,,info@nimbus.com,,
30,Brightpath Analytics,brightpath analytics,brightpathanalytic.com,Hospitality,DE,120,,,info@brightpath.com,,
31,"Zephyr,Drones Global LLC",zephyr drones global,zephyrdronesglobal.com,,United Kingdom,40,,,info@zephyr.com,,
32,VANTA FOODS PARTNERS CO.,vanta foods partners,vantafoodspartners.com,Telecom,United States,125,,,info@vanta.com,,
33,"Lumen,Retail Incorporated",lumen retail incorporated,lumenretail.com,Hospitality,United States,1200,,,,,
34,GRANITE INSURANCE HOLDINGS,granite insurance,graniteinsuranceho.com,Finance,United States,1000,,,info@granite.com,,
35,Orbit Manufacturing Partners Ltd,orbit manufacturing partners,orbitmanufacturing.com,Gaming,Australia,,,,info@orbit.com,,
36,Halcyon Pharma Partners Co,halcyon pharma partners,halcyonpharmapartn.com,Gaming,United Kingdom,70,,,info@halcyon.com,,
37,Onyx Mining International LLC,onyx mining international,onyxmininginternat.com,Telecom,DE,150,,,info@onyx.com,,
38,"Cedar,Systems International Ltd.",cedar systems international,cedarsystemsintern.com,Telecom,India,120,,,info@cedar.com,,
39,NIMBUS CLOUD LTD.,nimbus cloud,nimbuscloud.com,Healthcare,,,,,info@nimbus.com,,
40,yarrow textiles co,yarrow textiles,yarrowtextiles.com,Manufacturing,DE,150,,,info@yarrow.com,,
41,Lumen Retail Partners Ltd,lumen retail partners,lumenretailpartner.com,Healthcare,India,1200,,,info@lumen.com,,
42,granite insurance holdings llc,granite insurance,,Finance,United States,18,,,,,
43,EMBER HOSPITALITY GLOBAL LTD,ember hospitality global,emberhospitalitygl.com,Finance,Australia,750,,,,,
44,Cedar Systems Global Ltd,cedar systems global,cedarsystemsglobal.com,Logistics,DE,260,,,info@cedar.com,,
45,Meridian Travel Partners Ltd.,meridian travel partners,,,India,87,,,info@meridian.com,,
46,Basalt Construction,basalt construction,basaltconstruction.com,,United Kingdom,120,,,,,
47,"Basalt,Construction Ltd.",basalt construction,basaltconstruction.com,Energy,CA,18,,,,,
48,QUARTZ LEGAL GLOBAL LTD,quartz legal global,quartzlegalglobal.com,Healthcare,United States,220,,,info@quartz.com,,
49,Umbra Optics Group Corp,umbra optics,umbraopticsgroup.com,Gaming,United States,,,,info@umbra.com,,
50,Harbor Health Ltd,harbor health,harborhealth.com,Hospitality,United States,130,,,,,
51,"Drift,Apparel Incorporated",drift apparel incorporated,driftapparel.com,Manufacturing,United States,30,,,info@drift.com,,
52,Drift Apparel Incorporated,drift apparel incorporated,driftapparel.com,Construction,United Kingdom,350,,,info@drift.com,,
53,LARKSPUR TOYS LTD.,larkspur toys,larkspurtoys.com,Construction,DE,600,,,,,
54,Quill Software Partners,quill software partners,quillsoftwarepartn.com,Insurance,DE,,,,info@quill.com,,
55,Birch Furniture International Co.,birch furniture international,birchfurnitureinte.com,,Germany,540,,,,,
56,Xenon Labs Partners Co,xenon labs partners,xenonlabspartners.com,Construction,United Kingdom,350,,,info@xenon.com,,
57,PINECREST MEDIA PARTNERS CORP,pinecrest media partners,pinecrestmediapart.com,Healthcare,India,120,,,info@pinecrest.com,,
58,Petal Cosmetics International Inc,petal cosmetics international,petalcosmeticsinte.com,,CA,,,,info@petal.com,,
59,Cedar Systems Group Inc.,cedar systems,cedarsystemsgroup.com,Healthcare,,,,,info@cedar.com,,
60,COBALT TELECOM HOLDINGS INC.,cobalt telecom,cobalttelecomholdi.com,Gaming,India,18,,,info@cobalt.com,,
61,Juniper Mobility Partners Inc.,juniper mobility partners,junipermobilitypar.com,Energy,India,545,,,info@juniper.com,,
62,Quill Software Global Incorporated,quill software global incorporated,,Energy,Germany,260,,,,,
63,Northwind Logistics Inc,northwind logistics,northwindlogistics.com,Logistics,United States,120,,,ops@northwindlogistics.com,,
64,"VANTA,FOODS GLOBAL LTD",vanta foods global,vantafoodsglobal.com,Retail,United States,30,,,info@vanta.com,,
65,Onyx Mining Group Ltd,onyx mining,,,CA,,,,info@onyx.com,,
66,Orbit Manufacturing Ltd,orbit manufacturing,,Hospitality,United Kingdom,1000,,,info@orbit.com,,
67,Yarrow Textiles Holdings Corp,yarrow textiles,,Software,United States,18,,,info@yarrow.com,,
68,Cedar Systems,cedar systems,cedarsystems.com,Education,Germany,,,,info@cedar.com,,
69,Yarrow Textiles International LLC,yarrow textiles international,,,,260,,,info@yarrow.com,,
70,YARROW TEXTILES GROUP CORP,yarrow textiles,yarrowtextilesgrou.com,Software,United Kingdom,750,,,,,
71,Quartz Legal Holdings Inc.,quartz legal,quartzlegalholding.com,Healthcare,Germany,450,,,info@quartz.com,,
72,COBALT TELECOM PARTNERS INC,cobalt telecom partners,cobalttelecompartn.com,,,520,,,info@cobalt.com,,
73,Birch Furniture Co,birch furniture,,Gaming,United Kingdom,,,,info@birch.com,,
74,BIRCH FURNITURE GROUP CO.,birch furniture,birchfurnituregrou.com,Healthcare,India,18,,,info@birch.com,,
75,Quartz Legal Inc.,quartz legal,quartzlegal.com,Insurance,United States,5,,,info@quartz.com,,
76,larkspur toys holdings ltd,larkspur toys,larkspurtoysholdin.com,Pharmaceuticals,CA,450,,,info@larkspur.com,,
77,ACORN EDUCATION INCORPORATED,acorn education incorporated,acorneducation.com,Healthcare,Germany,1000,,,info@acorn.com,,
78,Sterling Robotics Corp,sterling robotics,sterlingrobotics.com,Education,Australia,1200,,,info@sterling.com,,
79,Meridian Travel Corp,meridian travel,meridiantravel.com,Insurance,Germany,5,,,info@meridian.com,,
80,orbit manufacturing holdings incorporated,orbit manufacturing incorporated,,,,350,,,info@orbit.com,,
81,ironwood agritech incorporated,ironwood agritech incorporated,ironwoodagritech.com,Hospitality,CA,1200,,,info@ironwood.com,,
82,"Halcyon,Pharma Group Inc.",halcyon pharma,halcyonpharmagroup.com,Finance,Australia,1000,,,,,
83,Harbor Health International,harbor health international,harborhealthintern.com,Pharmaceuticals,United Kingdom,40,,,info@harbor.com,,
84,acorn education international ltd.,acorn education international,acorneducationinte.com,,DE,200,,,info@acorn.com,,
85,"Halcyon,Pharma Holdings Inc.",halcyon pharma,halcyonpharmaholdi.com,Pharmaceuticals,,300,,,,,
86,Quartz Legal Holdings LLC,quartz legal,quartzlegalholding.com,Healthcare,India,450,,,,,
87,"Yarrow,Textiles Partners Co.",yarrow textiles partners,yarrowtextilespart.com,Finance,United States,130,,,info@yarrow.com,,
88,Meridian Travel Holdings Co,meridian travel,meridiantravelhold.com,Gaming,United Kingdom,30,,,info@meridian.com,,
89,Foxglove Energy Partners,foxglove energy partners,foxgloveenergypart.com,,United States,540,,,info@foxglove.com,,
90,"Lumen,Retail Global Inc.",lumen retail global,lumenretailglobal.com,,United Kingdom,245,,,,,
91,Orbit Manufacturing Inc,orbit manufacturing,orbitmanufacturing.com,Insurance,U.S.A.,540,,,info@orbit.com,,
92,Drift Apparel Partners Incorporated,drift apparel partners incorporated,driftapparelpartne.com,Software,DE,55,,,info@drift.com,,
93,Lumen Retail Holdings Co.,lumen retail,lumenretailholding.com,Hospitality,,110,,,,,
94,"ember,hospitality ltd",ember hospitality,emberhospitality.com,Gaming,CA,520,,,info@ember.com,,
95,JUNIPER MOBILITY GLOBAL LTD.,juniper mobility global,junipermobilityglo.com,Media,United States,30,,,info@juniper.com,,
96,Granite Insurance LLC,granite insurance,graniteinsurance.com,Gaming,,5,,,info@granite.com,,
97,Quartz Legal International Inc,quartz legal international,quartzlegalinterna.com,Energy,India,145,,,info@quartz.com,,
98,"Mosaic,Payments Group Inc.",mosaic payments,mosaicpaymentsgrou.com,Software,,220,,,info@mosaic.com,,
99,"Verdant,Landscaping Co",verdant landscaping,verdantlandscaping.com,,India,1200,,,info@verdant.com,,
100,Ember Hospitality Group Corp,ember hospitality,emberhospitalitygr.com,Pharmaceuticals,United States,600,,,info@ember.com,,
101,Anchor Marine Partners Incorporated,anchor marine partners incorporated,anchormarinepartne.com,Hospitality,U.S.A.,220,,,,,
102,HARBOR HEALTH PARTNERS INC,harbor health partners,harborhealthpartne.com,Finance,United States,1200,,,info@harbor.com,,
103,BIRCH FURNITURE HOLDINGS LTD,birch furniture,birchfurniturehold.com,Logistics,India,245,,,info@birch.com,,
104,"Drift,Apparel Group Ltd",drift apparel,driftapparelgroup.com,,United Kingdom,350,,,,,
105,Ember Hospitality Global Incorporated,ember hospitality global incorporated,emberhospitalitygl.com,Finance,United States,120,,,info@ember.com,,
106,Harbor Health LLC,harbor health,,Insurance,United States,42,,,info@harbor.com,,
107,Verdant Landscaping Global Corp,verdant landscaping global,verdantlandscaping.com,Finance,India,,,,info@verdant.com,,
108,"Sterling,Robotics Holdings Ltd",sterling robotics,,Retail,U.S.A.,5,,,info@sterling.com,,
109,Saffron Spices Partners Co.,saffron spices partners,saffronspicespartn.com,Retail,Australia,540,,,info@saffron.com,,
110,Orbit Manufacturing Partners Ltd,orbit manufacturing partners,orbitmanufacturing.com,Healthcare,CA,30,,,info@orbit.com,,
111,Halcyon Pharma Corp,halcyon pharma,halcyonpharma.com,,United States,70,,,info@halcyon.com,,
112,"acorn,education",acorn education,acorneducation.com,Healthcare,Canada,,,,info@acorn.com,,
113,Northwind Logistics Group Co,northwind logistics,northwindlogistics.com,Insurance,,18,,,info@northwind.com,,
114,Quartz Legal Inc.,quartz legal,quartzlegal.com,Insurance,Canada,,,,info@quartz.com,,
115,"Umbra,Optics Partners",umbra optics partners,umbraopticspartner.com,Software,,520,,,info@umbra.com,,
116,Meridian Travel Global Corp,meridian travel global,meridiantravelglob.com,Software,Australia,30,,,info@meridian.com,,
117,Birch Furniture International Inc,birch furniture international,birchfurnitureinte.com,Education,India,750,,,info@birch.com,,
118,Ember Hospitality Group Co,ember hospitality,emberhospitalitygr.com,,United States,545,,,info@ember.com,,
119,Xenon Labs Incorporated,xenon labs incorporated,xenonlabs.com,Energy,United Kingdom,300,,,info@xenon.com,,
120,"Petal,Cosmetics Group Corp",petal cosmetics,petalcosmeticsgrou.com,Finance,U.S.A.,150,,,info@petal.com,,
121,Kestrel Security International Ltd.,kestrel security international,kestrelsecurityint.com,Healthcare,,350,,,,,
122,Yarrow Textiles Partners Co.,yarrow textiles partners,yarrowtextilespart.com,Telecom,United States,5,,,info@yarrow.com,,
123,Quill Software Co.,quill software,quillsoftware.com,Gaming,Germany,120,,,info@quill.com,,
124,Sterling Robotics Partners Co,sterling robotics partners,sterlingroboticspa.com,Hospitality,India,,,,info@sterling.com,,
125,Saffron Spices Group Ltd.,saffron spices,saffronspicesgroup.com,Telecom,DE,1000,,,info@saffron.com,,
126,Saffron Spices International Ltd,saffron spices international,,Finance,Canada,350,,,info@saffron.com,,
127,"Cedar,Systems International Ltd.",cedar systems international,cedarsystemsintern.com,Retail,United Kingdom,545,,,info@cedar.com,,
128,VANTA FOODS GROUP CO.,vanta foods,vantafoodsgroup.com,Pharmaceuticals,Germany,130,,,,,
129,Quartz Legal Group Ltd,quartz legal,,,United Kingdom,125,,,info@quartz.com,,
130,Quartz Legal Holdings Ltd.,quartz legal,quartzlegalholding.com,Healthcare,United States,70,,,info@quartz.com,,
131,LUMEN RETAIL CO.,lumen retail,lumenretail.com,Construction,Australia,,,,info@lumen.com,,
132,"Verdant,Landscaping Global",verdant landscaping global,,Telecom,Australia,18,,,info@verdant.com,,
133,saffron spices corp,saffron spices,,Manufacturing,United Kingdom,120,,,info@saffron.com,,
134,Thicket Gaming Group Co.,thicket gaming,thicketgaminggroup.com,Gaming,,750,,,,,
135,Foxglove Energy Inc,foxglove energy,foxgloveenergy.com,Construction,India,545,,,info@foxglove.com,,
136,Xenon Labs Co.,xenon labs,xenonlabs.com,,United Kingdom,42,,,info@xenon.com,,
137,Pinecrest Media Incorporated,pinecrest media incorporated,pinecrestmedia.com,Hospitality,India,5,,,info@pinecrest.com,,
138,Ironwood Agritech Group Inc.,ironwood agritech,ironwoodagritechgr.com,,,750,,,info@ironwood.com,,
139,Northwind Logistics International Co.,northwind logistics international,northwindlogistics.com,Manufacturing,U.S.A.,,,,info@northwind.com,,
140,Ember Hospitality Partners Corp,ember hospitality partners,emberhospitalitypa.com,Retail,United States,220,,,info@ember.com,,
141,Granite Insurance Ltd.,granite insurance,graniteinsurance.com,Pharmaceuticals,United Kingdom,,,,info@granite.com,,
142,Rivet Hardware Global Inc.,rivet hardware global,,,Germany,540,,,info@rivet.com,,
