entity_id,company_name,normalized_company_name,domain,source_industry,country,employee_count_source,contact_name,contact_title,email,source,last_seen,source_record_count,source_row_numbers
basaltconstruction-com,BASALT CONSTRUCTION INTERNATIONAL CO,basalt construction international,basaltconstruction.com,Insurance,DE,30,,,info@basalt.com,,,13,"1,46,47,171,173,229,325,327,342,409,412,415,419"
ironwoodagritechho-com,"IRONWOOD,AGRITECH HOLDINGS INC.",ironwood agritech,ironwoodagritechho.com,Energy,Australia,1200,,,info@ironwood.com,,,5,"2,152,187,332,386"
northwindlogistics-com,"northwind,logistics global inc",northwind logistics global,northwindlogistics.com,Gaming,India,110,,,info@northwind.com,,,14,"3,16,21,63,113,139,144,206,351,445,455,457,465,478"
nimbuscloudglobal-com,Nimbus Cloud Global Co,nimbus cloud global,nimbuscloudglobal.com,Healthcare,U.S.A.,30,,,,,,2,"4,296"
nimbuscloudpartner-com,"NIMBUS,CLOUD PARTNERS INCORPORATED",nimbus cloud partners incorporated,nimbuscloudpartner.com,Media,Canada,5,,,info@nimbus.com,,,1,5
foxgloveenergygrou-com,Foxglove Energy Group Co,foxglove energy,foxgloveenergygrou.com,Logistics,DE,545,,,info@foxglove.com,,,2,"6,484"
brightpathanalytic-com,Brightpath Analytics Corp,brightpath analytics,brightpathanalytic.com,Education,United Kingdom,130,,,info@brightpath.com,,,13,"7,30,145,168,178,281,289,350,352,375,436,459,463"
orbitmanufacturing-com,orbit manufacturing international,orbit manufacturing international,orbitmanufacturing.com,Education,India,1000,,,info@orbit.com,,,12,"9,35,91,110,155,190,225,280,303,323,354,405"
zephyrdronesintern-com,ZEPHYR DRONES INTERNATIONAL,zephyr drones international,zephyrdronesintern.com,Retail,Canada,350,,,info@zephyr.com,,,2,"10,210"
graniteinsurancepa-com,Granite Insurance Partners Corp,granite insurance partners,graniteinsurancepa.com,Pharmaceuticals,Australia,130,,,info@granite.com,,,2,"11,232"
willowchildcareint-com,Willow Childcare International LLC,willow childcare international,willowchildcareint.com,Media,DE,245,,,info@willow.com,,,2,"12,196"
thicketgaminginter-com,"Thicket,Gaming International Corp",thicket gaming international,thicketgaminginter.com,Telecom,U.S.A.,42,,,info@thicket.com,,,2,"13,427"
xenonlabs-com,Xenon Labs Co,xenon labs,xenonlabs.com,Healthcare,United States,300,,,info@xenon.com,,,6,"14,119,136,216,221,254"
cobalttelecomgroup-com,"COBALT,TELECOM GROUP INC",cobalt telecom,cobalttelecomgroup.com,Hospitality,DE,18,,,info@cobalt.com,,,3,"15,357,396"
larkspurtoysgroup-com,Larkspur Toys Group LLC,larkspur toys,larkspurtoysgroup.com,Software,DE,260,,,info@larkspur.com,,,1,17
acorneducationpart-com,acorn education partners corp,acorn education partners,acorneducationpart.com,Education,India,87,,,info@acorn.com,,,2,"18,377"
foxgloveenergyinte-com,Foxglove Energy International,foxglove energy international,foxgloveenergyinte.com,Healthcare,DE,,,,info@foxglove.com,,,1,20
sterlingroboticsgr-com,Sterling Robotics Group Incorporated,sterling robotics incorporated,sterlingroboticsgr.com,Finance,U.S.A.,42,,,info@sterling.com,,,3,"22,249,355"
